集計年,産業大分類コード,産業大分類名,業種中分類コード,業種中分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,E,製造業,11,繊維工業,年齢計,22.7755,40.6309,313.9364
2010,E,製造業,11,繊維工業,～19歳,14.9912,9.4571,189.3512
2010,E,製造業,11,繊維工業,20～24歳,15.948,23.5796,214.9561
2010,E,製造業,11,繊維工業,25～29歳,19.2479,36.0635,267.0382
2010,E,製造業,11,繊維工業,30～34歳,21.8836,41.4876,304.0904
2010,E,製造業,11,繊維工業,35～39歳,23.658,53.2448,337.1407
2010,E,製造業,11,繊維工業,40～44歳,26.2083,50.7182,365.2175
2010,E,製造業,11,繊維工業,45～49歳,25.8788,51.6166,362.1628
2010,E,製造業,11,繊維工業,50～54歳,25.7692,49.3591,358.5898
2010,E,製造業,11,繊維工業,55～59歳,24.7502,36.1167,333.1196
2010,E,製造業,11,繊維工業,60～64歳,18.303,16.6007,236.2366
2010,E,製造業,11,繊維工業,65～69歳,18.2238,10.8876,229.5735
2010,E,製造業,11,繊維工業,70歳～,15.5759,14.2676,201.1781
2010,E,製造業,12,木材・木製品製造業（家具を除く）,年齢計,23.3413,32.0344,312.1298
2010,E,製造業,12,木材・木製品製造業（家具を除く）,～19歳,15.3187,3.5285,187.3532
2010,E,製造業,12,木材・木製品製造業（家具を除く）,20～24歳,17.6966,22.4583,234.8171
2010,E,製造業,12,木材・木製品製造業（家具を除く）,25～29歳,19.415,29.523,262.5034
2010,E,製造業,12,木材・木製品製造業（家具を除く）,30～34歳,21.8963,34.7198,297.4752
2010,E,製造業,12,木材・木製品製造業（家具を除く）,35～39歳,24.2746,37.8107,329.1064
2010,E,製造業,12,木材・木製品製造業（家具を除く）,40～44歳,25.6979,41.907,350.282
2010,E,製造業,12,木材・木製品製造業（家具を除く）,45～49歳,25.7978,36.7044,346.2777
2010,E,製造業,12,木材・木製品製造業（家具を除く）,50～54歳,26.4548,37.3813,354.8388
2010,E,製造業,12,木材・木製品製造業（家具を除く）,55～59歳,26.0335,31.199,343.6011
2010,E,製造業,12,木材・木製品製造業（家具を除く）,60～64歳,21.4009,18.9185,275.7296
2010,E,製造業,12,木材・木製品製造業（家具を除く）,65～69歳,18.8514,10.8322,237.0487
2010,E,製造業,12,木材・木製品製造業（家具を除く）,70歳～,18.4845,8.9723,230.7867
2010,E,製造業,13,家具・装備品製造業,年齢計,26.0628,42.4132,355.1673
2010,E,製造業,13,家具・装備品製造業,～19歳,16.8678,14.228,216.6418
2010,E,製造業,13,家具・装備品製造業,20～24歳,18.8779,24.8565,251.3917
2010,E,製造業,13,家具・装備品製造業,25～29歳,20.8071,33.0495,282.7352
2010,E,製造業,13,家具・装備品製造業,30～34歳,24.0537,43.7868,332.4316
2010,E,製造業,13,家具・装備品製造業,35～39歳,27.209,49.8191,376.3274
2010,E,製造業,13,家具・装備品製造業,40～44歳,29.3839,53.4497,406.0561
2010,E,製造業,13,家具・装備品製造業,45～49歳,29.6693,51.9227,407.9545
2010,E,製造業,13,家具・装備品製造業,50～54歳,31.1363,49.6572,423.2929
2010,E,製造業,13,家具・装備品製造業,55～59歳,28.8115,42.7892,388.5271
2010,E,製造業,13,家具・装備品製造業,60～64歳,21.8928,20.3845,283.0983
2010,E,製造業,13,家具・装備品製造業,65～69歳,20.3649,20.0345,264.4127
2010,E,製造業,13,家具・装備品製造業,70歳～,17.5979,11.8458,223.0205
2010,E,製造業,14,パルプ・紙・紙加工品製造業,年齢計,27.0919,82.7227,407.8254
2010,E,製造業,14,パルプ・紙・紙加工品製造業,～19歳,16.8463,15.8471,218.0026
2010,E,製造業,14,パルプ・紙・紙加工品製造業,20～24歳,18.8924,50.0625,276.7709
2010,E,製造業,14,パルプ・紙・紙加工品製造業,25～29歳,21.4335,62.7134,319.9151
2010,E,製造業,14,パルプ・紙・紙加工品製造業,30～34歳,24.6588,78.7195,374.6255
2010,E,製造業,14,パルプ・紙・紙加工品製造業,35～39歳,27.1914,85.7752,412.072
2010,E,製造業,14,パルプ・紙・紙加工品製造業,40～44歳,29.4794,94.547,448.2999
2010,E,製造業,14,パルプ・紙・紙加工品製造業,45～49歳,32.4013,103.1135,491.9291
2010,E,製造業,14,パルプ・紙・紙加工品製造業,50～54歳,33.0389,105.6771,502.1442
2010,E,製造業,14,パルプ・紙・紙加工品製造業,55～59歳,32.7873,103.872,497.32
2010,E,製造業,14,パルプ・紙・紙加工品製造業,60～64歳,21.6098,45.1526,304.4701
2010,E,製造業,14,パルプ・紙・紙加工品製造業,65～69歳,20.9866,43.7637,295.6029
2010,E,製造業,14,パルプ・紙・紙加工品製造業,70歳～,17.822,40.0636,253.927
2010,E,製造業,15,印刷・同関連業,年齢計,27.614,51.2395,382.6075
2010,E,製造業,15,印刷・同関連業,～19歳,17.3093,7.5866,215.2982
2010,E,製造業,15,印刷・同関連業,20～24歳,19.1523,30.2969,260.1242
2010,E,製造業,15,印刷・同関連業,25～29歳,23.672,32.8206,316.884
2010,E,製造業,15,印刷・同関連業,30～34歳,24.7311,47.8237,344.597
2010,E,製造業,15,印刷・同関連業,35～39歳,27.729,55.4996,388.2472
2010,E,製造業,15,印刷・同関連業,40～44歳,29.4315,62.5077,415.686
2010,E,製造業,15,印刷・同関連業,45～49歳,33.4314,64.6257,465.8028
2010,E,製造業,15,印刷・同関連業,50～54歳,34.4066,69.3406,482.2202
2010,E,製造業,15,印刷・同関連業,55～59歳,32.792,56.7621,450.2667
2010,E,製造業,15,印刷・同関連業,60～64歳,22.1467,33.5017,299.2618
2010,E,製造業,15,印刷・同関連業,65～69歳,18.698,9.5482,233.9244
2010,E,製造業,15,印刷・同関連業,70歳～,16.8784,2.9667,205.508
2010,E,製造業,16,化学工業,年齢計,34.5721,125.5723,540.4375
2010,E,製造業,16,化学工業,～19歳,17.6448,22.7867,234.5246
2010,E,製造業,16,化学工業,20～24歳,20.405,48.3763,293.2362
2010,E,製造業,16,化学工業,25～29歳,23.7716,67.6945,352.9537
2010,E,製造業,16,化学工業,30～34歳,27.9018,94.3711,429.1924
2010,E,製造業,16,化学工業,35～39歳,32.0024,117.3196,501.3483
2010,E,製造業,16,化学工業,40～44歳,39.0977,155.0554,624.2276
2010,E,製造業,16,化学工業,45～49歳,44.4124,172.0246,704.9729
2010,E,製造業,16,化学工業,50～54歳,46.3035,192.3719,748.0138
2010,E,製造業,16,化学工業,55～59歳,44.4652,171.842,705.4241
2010,E,製造業,16,化学工業,60～64歳,27.2627,80.2704,407.4224
2010,E,製造業,16,化学工業,65～69歳,22.3716,18.5945,287.0541
2010,E,製造業,16,化学工業,70歳～,39.8598,9.8768,488.1945
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,年齢計,26.8105,63.5389,385.2648
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,～19歳,17.5455,10.7831,221.3287
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,20～24歳,18.258,33.0017,252.0975
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,25～29歳,21.3476,45.811,301.9825
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,30～34歳,24.4642,61.9862,355.5565
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,35～39歳,27.1154,69.3185,394.7029
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,40～44歳,30.0618,77.5422,438.2833
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,45～49歳,32.1435,79.388,465.1098
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,50～54歳,32.7984,86.6203,480.201
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,55～59歳,30.447,70.8777,436.2422
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,60～64歳,21.25,31.0808,286.0805
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,65～69歳,20.9062,21.3057,272.18
2010,E,製造業,18,プラスチック製品製造業（別掲を除く）,70歳～,17.646,19.9048,231.6568
2010,E,製造業,19,ゴム製品製造業,年齢計,27.6745,83.2919,415.3863
2010,E,製造業,19,ゴム製品製造業,～19歳,16.6832,19.3269,219.5258
2010,E,製造業,19,ゴム製品製造業,20～24歳,18.8168,42.5618,268.3635
2010,E,製造業,19,ゴム製品製造業,25～29歳,21.7598,57.1162,318.2342
2010,E,製造業,19,ゴム製品製造業,30～34歳,24.4266,69.2235,362.3425
2010,E,製造業,19,ゴム製品製造業,35～39歳,28.1318,85.1641,422.7458
2010,E,製造業,19,ゴム製品製造業,40～44歳,31.3364,98.1298,474.1669
2010,E,製造業,19,ゴム製品製造業,45～49歳,31.9534,103.2451,486.6859
2010,E,製造業,19,ゴム製品製造業,50～54歳,33.6407,112.9294,516.6173
2010,E,製造業,19,ゴム製品製造業,55～59歳,35.134,120.9565,542.5645
2010,E,製造業,19,ゴム製品製造業,60～64歳,23.492,58.7553,340.6591
2010,E,製造業,19,ゴム製品製造業,65～69歳,19.6141,17.57,252.9398
2010,E,製造業,19,ゴム製品製造業,70歳～,17.5857,28.7929,239.8214
2010,E,製造業,21,窯業・土石製品製造業,年齢計,28.3556,70.0276,410.2948
2010,E,製造業,21,窯業・土石製品製造業,～19歳,16.7767,14.0624,215.3829
2010,E,製造業,21,窯業・土石製品製造業,20～24歳,18.6204,40.6623,264.1069
2010,E,製造業,21,窯業・土石製品製造業,25～29歳,21.8321,48.81,310.7957
2010,E,製造業,21,窯業・土石製品製造業,30～34歳,24.3966,57.7624,350.5212
2010,E,製造業,21,窯業・土石製品製造業,35～39歳,28.1973,74.0862,412.4543
2010,E,製造業,21,窯業・土石製品製造業,40～44歳,31.2482,87.3268,462.3056
2010,E,製造業,21,窯業・土石製品製造業,45～49歳,32.3437,85.9175,474.042
2010,E,製造業,21,窯業・土石製品製造業,50～54歳,32.9417,85.3097,480.6104
2010,E,製造業,21,窯業・土石製品製造業,55～59歳,31.475,77.2549,454.9546
2010,E,製造業,21,窯業・土石製品製造業,60～64歳,23.9054,40.6685,327.5328
2010,E,製造業,21,窯業・土石製品製造業,65～69歳,22.7894,16.385,289.8573
2010,E,製造業,21,窯業・土石製品製造業,70歳～,22.6071,10.1359,281.4207
2010,E,製造業,22,鉄鋼業,年齢計,30.8156,133.4243,503.212
2010,E,製造業,22,鉄鋼業,～19歳,17.8913,32.2347,246.9299
2010,E,製造業,22,鉄鋼業,20～24歳,20.1779,65.1689,307.3035
2010,E,製造業,22,鉄鋼業,25～29歳,23.0783,84.5429,361.483
2010,E,製造業,22,鉄鋼業,30～34歳,26.8718,106.1382,428.6004
2010,E,製造業,22,鉄鋼業,35～39歳,30.6559,125.9198,493.7905
2010,E,製造業,22,鉄鋼業,40～44歳,35.1462,165.511,587.2656
2010,E,製造業,22,鉄鋼業,45～49歳,37.4152,176.8432,625.8258
2010,E,製造業,22,鉄鋼業,50～54歳,40.726,213.3025,702.0149
2010,E,製造業,22,鉄鋼業,55～59歳,37.6609,176.3693,628.2997
2010,E,製造業,22,鉄鋼業,60～64歳,24.8635,91.742,390.1039
2010,E,製造業,22,鉄鋼業,65～69歳,28.9389,47.7303,394.997
2010,E,製造業,22,鉄鋼業,70歳～,21.7824,20.5252,281.914
2010,E,製造業,23,非鉄金属製造業,年齢計,30.7524,88.4351,457.4645
2010,E,製造業,23,非鉄金属製造業,～19歳,17.9281,19.6246,234.7623
2010,E,製造業,23,非鉄金属製造業,20～24歳,19.396,41.0278,273.7804
2010,E,製造業,23,非鉄金属製造業,25～29歳,22.5767,54.2907,325.2115
2010,E,製造業,23,非鉄金属製造業,30～34歳,25.543,67.2937,373.8093
2010,E,製造業,23,非鉄金属製造業,35～39歳,29.7837,86.587,443.9911
2010,E,製造業,23,非鉄金属製造業,40～44歳,33.7233,100.2334,504.9133
2010,E,製造業,23,非鉄金属製造業,45～49歳,37.2378,115.8526,562.7063
2010,E,製造業,23,非鉄金属製造業,50～54歳,38.0252,119.1708,575.4735
2010,E,製造業,23,非鉄金属製造業,55～59歳,40.0178,130.8086,611.0217
2010,E,製造業,23,非鉄金属製造業,60～64歳,25.6809,62.0331,370.2034
2010,E,製造業,23,非鉄金属製造業,65～69歳,22.7532,27.3733,300.4113
2010,E,製造業,23,非鉄金属製造業,70歳～,24.1722,67.0067,357.0733
2010,E,製造業,24,金属製品製造業,年齢計,27.7785,61.7026,395.0449
2010,E,製造業,24,金属製品製造業,～19歳,17.0111,8.0184,212.152
2010,E,製造業,24,金属製品製造業,20～24歳,18.5147,34.1492,256.3262
2010,E,製造業,24,金属製品製造業,25～29歳,21.4788,46.8807,304.6266
2010,E,製造業,24,金属製品製造業,30～34歳,23.9222,57.4742,344.5412
2010,E,製造業,24,金属製品製造業,35～39歳,27.1542,61.0193,386.8692
2010,E,製造業,24,金属製品製造業,40～44歳,30.2529,68.8539,431.8886
2010,E,製造業,24,金属製品製造業,45～49歳,31.3688,74.3406,450.7656
2010,E,製造業,24,金属製品製造業,50～54歳,34.582,83.4782,498.4619
2010,E,製造業,24,金属製品製造業,55～59歳,34.3564,83.1177,495.3945
2010,E,製造業,24,金属製品製造業,60～64歳,27.965,39.6866,375.2668
2010,E,製造業,24,金属製品製造業,65～69歳,23.9755,42.0343,329.7406
2010,E,製造業,24,金属製品製造業,70歳～,23.0507,25.9279,302.5367
2010,E,製造業,25,はん用機械器具製造業,年齢計,30.4905,99.3655,465.2517
2010,E,製造業,25,はん用機械器具製造業,～19歳,17.0622,18.7978,223.5446
2010,E,製造業,25,はん用機械器具製造業,20～24歳,19.8065,47.0037,284.6818
2010,E,製造業,25,はん用機械器具製造業,25～29歳,22.4689,67.4929,337.1195
2010,E,製造業,25,はん用機械器具製造業,30～34歳,25.3035,79.3549,382.9964
2010,E,製造業,25,はん用機械器具製造業,35～39歳,30.1497,96.4616,458.2583
2010,E,製造業,25,はん用機械器具製造業,40～44歳,33.9511,115.5028,522.9165
2010,E,製造業,25,はん用機械器具製造業,45～49歳,36.6003,130.9422,570.1458
2010,E,製造業,25,はん用機械器具製造業,50～54歳,39.7133,137.6328,614.1922
2010,E,製造業,25,はん用機械器具製造業,55～59歳,38.5884,141.3625,604.4229
2010,E,製造業,25,はん用機械器具製造業,60～64歳,26.1086,70.5922,383.8957
2010,E,製造業,25,はん用機械器具製造業,65～69歳,27.5336,57.8367,388.2393
2010,E,製造業,25,はん用機械器具製造業,70歳～,24.4561,29.4481,322.921
2010,E,製造業,26,生産用機械器具製造業,年齢計,30.4101,80.9106,445.8321
2010,E,製造業,26,生産用機械器具製造業,～19歳,17.0096,19.1663,223.2821
2010,E,製造業,26,生産用機械器具製造業,20～24歳,19.0543,38.2325,266.8841
2010,E,製造業,26,生産用機械器具製造業,25～29歳,22.1281,53.1308,318.668
2010,E,製造業,26,生産用機械器具製造業,30～34歳,25.582,65.9727,372.9568
2010,E,製造業,26,生産用機械器具製造業,35～39歳,29.2455,82.046,432.9918
2010,E,製造業,26,生産用機械器具製造業,40～44歳,32.8433,91.0198,485.1394
2010,E,製造業,26,生産用機械器具製造業,45～49歳,36.9397,108.4276,551.7043
2010,E,製造業,26,生産用機械器具製造業,50～54歳,38.7291,108.3811,573.1304
2010,E,製造業,26,生産用機械器具製造業,55～59歳,40.3098,112.6245,596.3426
2010,E,製造業,26,生産用機械器具製造業,60～64歳,27.6071,55.0252,386.3102
2010,E,製造業,26,生産用機械器具製造業,65～69歳,23.6589,29.1088,313.0155
2010,E,製造業,26,生産用機械器具製造業,70歳～,18.3322,34.1421,254.1284
2010,E,製造業,27,業務用機械器具製造業,年齢計,31.3139,93.0192,468.7862
2010,E,製造業,27,業務用機械器具製造業,～19歳,16.4669,17.1672,214.7698
2010,E,製造業,27,業務用機械器具製造業,20～24歳,19.2977,38.6049,270.1777
2010,E,製造業,27,業務用機械器具製造業,25～29歳,22.3728,52.8785,321.352
2010,E,製造業,27,業務用機械器具製造業,30～34歳,26.0519,78.94,391.5623
2010,E,製造業,27,業務用機械器具製造業,35～39歳,29.9578,87.5886,447.0821
2010,E,製造業,27,業務用機械器具製造業,40～44歳,35.202,112.8668,535.2906
2010,E,製造業,27,業務用機械器具製造業,45～49歳,38.7188,129.9614,594.5866
2010,E,製造業,27,業務用機械器具製造業,50～54歳,41.1874,136.7292,630.9785
2010,E,製造業,27,業務用機械器具製造業,55～59歳,39.3071,119.3218,591.0074
2010,E,製造業,27,業務用機械器具製造業,60～64歳,26.0385,49.0507,361.5133
2010,E,製造業,27,業務用機械器具製造業,65～69歳,28.4019,18.0595,358.8823
2010,E,製造業,27,業務用機械器具製造業,70歳～,17.1067,8.2933,213.5733
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,年齢計,30.2725,89.2963,452.5665
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,～19歳,17.1698,15.2364,221.2735
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,20～24歳,18.6945,35.0994,259.4329
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,25～29歳,21.9751,50.9209,314.6226
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,30～34歳,25.8672,72.1306,382.5366
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,35～39歳,29.3228,87.5601,439.4335
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,40～44歳,34.3118,110.0064,521.7484
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,45～49歳,36.4676,118.0798,555.6912
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,50～54歳,39.0181,120.7162,588.9332
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,55～59歳,35.7659,112.6678,541.8585
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,60～64歳,26.5197,65.6277,383.8639
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,65～69歳,29.5921,46.5507,401.6554
2010,E,製造業,28,電子部品・デバイス・電子回路製造業,70歳～,17.2025,21.0688,227.4988
2010,E,製造業,29,電気機械器具製造業,年齢計,31.151,96.9201,470.7327
2010,E,製造業,29,電気機械器具製造業,～19歳,16.763,21.7874,222.9435
2010,E,製造業,29,電気機械器具製造業,20～24歳,18.8926,41.4416,268.1533
2010,E,製造業,29,電気機械器具製造業,25～29歳,22.9421,62.3175,337.623
2010,E,製造業,29,電気機械器具製造業,30～34歳,25.8938,77.2427,387.9682
2010,E,製造業,29,電気機械器具製造業,35～39歳,29.3373,91.8633,443.9107
2010,E,製造業,29,電気機械器具製造業,40～44歳,34.8041,116.5889,534.2376
2010,E,製造業,29,電気機械器具製造業,45～49歳,38.7517,132.1203,597.1411
2010,E,製造業,29,電気機械器具製造業,50～54歳,40.2175,132.2987,614.9084
2010,E,製造業,29,電気機械器具製造業,55～59歳,36.5286,116.4044,554.7471
2010,E,製造業,29,電気機械器具製造業,60～64歳,26.4393,62.4995,379.7714
2010,E,製造業,29,電気機械器具製造業,65～69歳,21.3334,45.9057,301.9065
2010,E,製造業,29,電気機械器具製造業,70歳～,24.5509,27.8532,322.4639
2010,E,製造業,30,情報通信機械器具製造業,年齢計,32.3241,108.8276,496.7174
2010,E,製造業,30,情報通信機械器具製造業,～19歳,16.8071,20.9927,222.678
2010,E,製造業,30,情報通信機械器具製造業,20～24歳,18.8598,41.1711,267.4884
2010,E,製造業,30,情報通信機械器具製造業,25～29歳,22.0526,58.885,323.516
2010,E,製造業,30,情報通信機械器具製造業,30～34歳,26.6923,84.8901,405.1973
2010,E,製造業,30,情報通信機械器具製造業,35～39歳,29.7092,99.8807,456.3915
2010,E,製造業,30,情報通信機械器具製造業,40～44歳,35.4659,124.6364,550.2269
2010,E,製造業,30,情報通信機械器具製造業,45～49歳,39.5397,147.4416,621.9176
2010,E,製造業,30,情報通信機械器具製造業,50～54歳,43.9675,162.6912,690.3006
2010,E,製造業,30,情報通信機械器具製造業,55～59歳,40.44,135.5957,620.8755
2010,E,製造業,30,情報通信機械器具製造業,60～64歳,28.5337,86.5526,428.9574
2010,E,製造業,30,情報通信機械器具製造業,65～69歳,24.4795,44.9865,338.7406
2010,E,製造業,30,情報通信機械器具製造業,70歳～,21.3294,0.125,256.0775
2010,E,製造業,31,輸送用機械器具製造業,年齢計,31.8974,112.5704,495.3387
2010,E,製造業,31,輸送用機械器具製造業,～19歳,17.7583,20.7562,233.8563
2010,E,製造業,31,輸送用機械器具製造業,20～24歳,19.7722,55.7848,293.0516
2010,E,製造業,31,輸送用機械器具製造業,25～29歳,23.3654,72.7499,353.1341
2010,E,製造業,31,輸送用機械器具製造業,30～34歳,26.7376,85.7559,406.6067
2010,E,製造業,31,輸送用機械器具製造業,35～39歳,30.7642,106.9049,476.0757
2010,E,製造業,31,輸送用機械器具製造業,40～44歳,35.4367,126.5154,551.7557
2010,E,製造業,31,輸送用機械器具製造業,45～49歳,41.1245,165.5123,659.0061
2010,E,製造業,31,輸送用機械器具製造業,50～54歳,42.3382,162.8387,670.8974
2010,E,製造業,31,輸送用機械器具製造業,55～59歳,41.7467,161.6464,662.6073
2010,E,製造業,31,輸送用機械器具製造業,60～64歳,26.0439,80.9359,393.4626
2010,E,製造業,31,輸送用機械器具製造業,65～69歳,21.3495,26.3692,282.5632
2010,E,製造業,31,輸送用機械器具製造業,70歳～,23.682,36.6256,320.8091
2010,E,製造業,32,その他の製造業,年齢計,29.1621,71.3646,421.3098
2010,E,製造業,32,その他の製造業,～19歳,16.7966,30.4461,232.0056
2010,E,製造業,32,その他の製造業,20～24歳,19.5706,44.1635,279.0105
2010,E,製造業,32,その他の製造業,25～29歳,22.5791,52.6018,323.5511
2010,E,製造業,32,その他の製造業,30～34歳,25.5276,63.8332,370.1649
2010,E,製造業,32,その他の製造業,35～39歳,29.7374,75.9483,432.7968
2010,E,製造業,32,その他の製造業,40～44歳,32.7668,80.2982,473.4997
2010,E,製造業,32,その他の製造業,45～49歳,35.1739,91.8095,513.8963
2010,E,製造業,32,その他の製造業,50～54歳,34.7167,96.7372,513.3373
2010,E,製造業,32,その他の製造業,55～59歳,33.2388,77.7534,476.6188
2010,E,製造業,32,その他の製造業,60～64歳,23.9852,38.3719,326.1939
2010,E,製造業,32,その他の製造業,65～69歳,23.3617,32.9224,313.2632
2010,E,製造業,32,その他の製造業,70歳～,20.9343,37.6469,288.8583
2010,G,情報通信業,39,情報サービス業,年齢計,34.6569,102.9672,518.8496
2010,G,情報通信業,39,情報サービス業,～19歳,17.4085,6.1992,215.1006
2010,G,情報通信業,39,情報サービス業,20～24歳,22.1075,34.6374,299.9278
2010,G,情報通信業,39,情報サービス業,25～29歳,24.8233,62.7208,360.6
2010,G,情報通信業,39,情報サービス業,30～34歳,30.4943,85.3596,451.2913
2010,G,情報通信業,39,情報サービス業,35～39歳,36.6987,104.8169,545.2015
2010,G,情報通信業,39,情報サービス業,40～44歳,40.0239,136.6682,616.9548
2010,G,情報通信業,39,情報サービス業,45～49歳,45.3731,154.946,699.423
2010,G,情報通信業,39,情報サービス業,50～54歳,52.2279,183.0953,809.83
2010,G,情報通信業,39,情報サービス業,55～59歳,47.1737,156.0982,722.1824
2010,G,情報通信業,39,情報サービス業,60～64歳,34.7713,84.4308,501.6868
2010,G,情報通信業,39,情報サービス業,65～69歳,52.5762,21.0211,651.9352
2010,G,情報通信業,39,情報サービス業,70歳～,-,-,-
2010,I,卸売業，小売業,I1,卸売業,年齢計,32.3813,89.9652,478.5409
2010,I,卸売業，小売業,I1,卸売業,～19歳,16.9117,7.4959,210.4362
2010,I,卸売業，小売業,I1,卸売業,20～24歳,19.9014,36.269,275.086
2010,I,卸売業，小売業,I1,卸売業,25～29歳,23.208,58.2036,336.6993
2010,I,卸売業，小売業,I1,卸売業,30～34歳,27.7683,78.7391,411.9588
2010,I,卸売業，小売業,I1,卸売業,35～39歳,31.5738,89.779,468.6647
2010,I,卸売業，小売業,I1,卸売業,40～44歳,36.3691,109.693,546.1222
2010,I,卸売業，小売業,I1,卸売業,45～49歳,39.5381,124.4723,598.929
2010,I,卸売業，小売業,I1,卸売業,50～54歳,41.8372,119.652,621.6983
2010,I,卸売業，小売業,I1,卸売業,55～59歳,40.8151,115.712,605.493
2010,I,卸売業，小売業,I1,卸売業,60～64歳,27.8796,43.1686,377.7239
2010,I,卸売業，小売業,I1,卸売業,65～69歳,24.7719,31.5905,328.8537
2010,I,卸売業，小売業,I1,卸売業,70歳～,21.8513,20.0022,282.2172
2010,I,卸売業，小売業,I2,小売業,年齢計,26.4845,56.8686,374.6826
2010,I,卸売業，小売業,I2,小売業,～19歳,16.6333,9.5503,209.15
2010,I,卸売業，小売業,I2,小売業,20～24歳,19.0952,25.1257,254.2677
2010,I,卸売業，小売業,I2,小売業,25～29歳,21.898,44.5906,307.3669
2010,I,卸売業，小売業,I2,小売業,30～34歳,25.4691,54.9705,360.5997
2010,I,卸売業，小売業,I2,小売業,35～39歳,28.0339,67.8854,404.2926
2010,I,卸売業，小売業,I2,小売業,40～44歳,30.3134,73.1789,436.9395
2010,I,卸売業，小売業,I2,小売業,45～49歳,32.4047,77.3962,466.2532
2010,I,卸売業，小売業,I2,小売業,50～54歳,31.363,72.8093,449.1652
2010,I,卸売業，小売業,I2,小売業,55～59歳,29.7275,61.9262,418.6564
2010,I,卸売業，小売業,I2,小売業,60～64歳,22.915,32.5879,307.5673
2010,I,卸売業，小売業,I2,小売業,65～69歳,19.3717,12.7324,245.1923
2010,I,卸売業，小売業,I2,小売業,70歳～,22.5391,31.6655,302.1349
